id,name,works_count
T13053,SMEs Development and Digital Marketing,231178
T13460,Historical Studies in Latin America,120248
T12629,Island Studies and Pacific Affairs,103194
T13618,Regional Socio-Economic Development Trends,97450
T12783,"Migration, Aging, and Tourism Studies",97083
T11631,"Retirement, Disability, and Employment",95153
T12842,"Youth, Drugs, and Violence",85602
T12011,"Insurance, Mortality, Demography, Risk Management",71134
T10585,Family Dynamics and Relationships,65470
T12563,History and Politics in Latin America,62108
T13784,Jewish Identity and Society,50412
T14070,Knowledge Societies in the 21st Century,48676
T14458,Education and Work Dynamics,45010
T11977,Technology Use by Older Adults,44403
T11648,"Diaspora, migration, transnational identity",40781
T13956,Sociopolitical Dynamics in Nepal,40245
T13839,"Tourism, Volunteerism, and Development",36341
T13566,Global Educational Reforms and Inequalities,35053
T12462,Elder Abuse and Neglect,32402
T14241,Evasion and Academic Success Factors,31501
T12312,"Culture, Economy, and Development Studies",29059
T14292,"Migration, Policy, and Dickens Studies",28930
T14119,Agricultural and Environmental Management,27093
T13492,"Science, Technology, and Education in Latin America",24773
T12393,Workplace Spirituality and Leadership,24007
T14466,"Migration, Health, Geopolitics, Historical Geography",20147
T13927,Cyberloafing and Workplace Behavior,13570
