id,name,works_count
T10973,Radioactive element chemistry and processing,144095
T10096,Metal-Organic Frameworks: Synthesis and Applications,128301
T12646,Inorganic Fluorides and Related Compounds,108388
T10353,Zeolite Catalysis and Synthesis,83779
T11281,Asymmetric Hydrogenation and Catalysis,76214
T12557,Inorganic Chemistry and Materials,70345
T10464,Crystal structures of chemical compounds,68783
T10807,Synthesis and characterization of novel inorganic/organometallic compounds,59450
T13217,Pigment Synthesis and Properties,47170
T11747,Metal-Catalyzed Oxygenation Mechanisms,36019
T12136,Vanadium and Halogenation Chemistry,26644
T13361,Coconut Research and Applications,25135
