id,name,works_count
T14102,Corporate Governance and Law,230479
T10910,Corporate Governance and Management,225399
T13706,Management and Optimization Techniques,178322
T14362,Diverse Legal and Medical Studies,130931
T12040,International Arbitration and Investment Law,120294
T12428,Global Trade and Competitiveness,113197
T10415,International Business and FDI,112557
T12675,Financial Reporting and Valuation Research,107354
T10003,Innovation and Knowledge Management,103452
T13402,Business Strategy and Innovation,96911
T13439,Transport and Economic Policies,94552
T10115,Corporate Social Responsibility Reporting,83919
T10539,Sustainable Supply Chain Management,81202
T12121,Cooperative Studies and Economics,70105
T11552,"Global trade, sustainability, and social impact",65684
T11437,Digital Platforms and Economics,64636
T13901,State Capitalism and Financial Governance,61669
T12815,Management and Organizational Practices,60646
T13191,Dispute Resolution and Class Actions,56953
T11864,Supply Chain Resilience and Risk Management,56696
T11939,Public-Private Partnership Projects,47168
T13151,Business Strategies and Innovation,44829
T12751,Leadership and Management in Organizations,43186
T11849,Intellectual Capital and Performance Analysis,43011
T13164,Quality and Management Systems,41238
T12779,Public Procurement and Policy,40395
T13957,Corporate Governance and Financial Management,40239
T12185,Regulation and Compliance Studies,39117
T13204,Competitive and Knowledge Intelligence,38215
T14356,Organizational Leadership and Management Strategies,36437
T12225,Political Influence and Corporate Strategies,33552
T13384,Regional Economic Development and Innovation,26949
T12738,Corporate Identity and Reputation,25096
T12933,Franchising Strategies and Performance,21909
T12662,Digitalization and Economic Development in Agriculture,18352
T13137,Strategic Planning and Analysis,17591
T13810,Legal Systems and Institutions,17138
T12905,Management Systems and Quality Improvement,16116
T13703,Attention Economy in Education and Business,11540
T14058,Value Engineering and Management,10353
T12958,Digital Economy and Transformation,9725
T13616,"Governance, Compliance, and Sustainability",3335
