id,name,works_count
T10250,Glaucoma and retinal disorders,152524
T10170,Retinal Diseases and Treatments,105927
T11291,Intraocular Surgery and Lenses,82249
T11194,Ocular Diseases and Behçet’s Syndrome,65005
T11867,Traumatic Ocular and Foreign Body Injuries,56450
T11328,Ocular Oncology and Treatments,55611
T12599,Retinal and Optic Conditions,45756
T13869,Ocular and Laser Science Research,45712
T11826,Ocular Infections and Treatments,40940
T14384,Ophthalmology and Visual Health Research,39970
T13467,Drug-Induced Ocular Toxicity,26661
T12523,Nasolacrimal Duct Obstruction Treatments,18852
