id,name,works_count
T10211,Computational Drug Discovery Methods,171999
T13523,"Mathematics, Computing, and Information Processing",165672
T10792,Matrix Theory and Algorithms,123386
T12002,"Computability, Logic, AI Algorithms",106106
T12100,Advanced Mathematical Modeling in Engineering,102405
T10142,Formal Methods in Verification,91694
T10374,Advanced Graph Theory Research,80124
T11727,Advanced Algebra and Logic,76524
T10545,Optimization and Variational Analysis,59834
T11435,Polynomial and algebraic computation,58211
T11567,semigroups and automata theory,54706
T11063,Rough Sets and Fuzzy Logic,53157
T10848,Advanced Multi-Objective Optimization Algorithms,44179
T12162,Cellular Automata and Applications,43105
T11697,Numerical Methods and Algorithms,41434
T12536,Topological and Geometric Data Analysis,39003
T10720,Complexity and Algorithms in Graphs,37909
T11125,Petri Nets in System Modeling,34983
T12541,Graph Labeling and Dimension Problems,26737
T12469,"Chaos, Complexity, and Education",26093
T13286,Modeling and Simulation Systems,24777
T12809,Contact Mechanics and Variational Inequalities,21356
T13182,Quantum-Dot Cellular Automata,11656
T12794,Adaptive Dynamic Programming Control,11153
