id,name,works_count
T12904,Diverse Educational Innovations Studies,130259
T12033,Agricultural Economics and Policy,126658
T13508,Agricultural Economics and Practices,111785
T13838,Plant and soil sciences,101563
T14018,Agriculture and Biological Studies,88516
T12098,Rural development and sustainability,81140
T10367,Agricultural Innovations and Practices,76079
T11862,"Agriculture, Land Use, Rural Development",61257
T13010,Agriculture and Agroindustry Studies,58184
T13240,Bioeconomy and Sustainability Development,43406
T14505,Natural Products and Applications,36734
T13478,Agricultural Development and Management,35530
T13468,Educational Research and Science Teaching,35357
T13630,Agriculture Market Analysis Ukraine,21667
T14405,Fisheries and Aquaculture Studies,20868
T13678,Agricultural Research and Practices,17516
T13054,Agricultural and Financial Auditing,16694
T14269,Food Security and Socioeconomic Dynamics,14931
T13288,"Banking, Crisis Management, COVID-19 Impact",14851
T13011,Latin American rural development,12417
