id,name,works_count
T10596,Child Nutrition and Water Access,157879
T10140,Food composition and properties,122085
T10858,Clinical Nutrition and Gastroenterology,110532
T10915,Trace Elements in Health,93836
T10387,Fatty Acid Research and Health,82941
T11294,Infant Nutrition and Health,64399
T11584,Biochemical Analysis and Sensing Techniques,63266
T12489,Microbial Metabolites in Food Biotechnology,60668
T11107,Selenium in Biological Systems,56360
T12554,Vitamin C and Antioxidants Research,56101
T12314,Nuts composition and effects,53150
T12873,"Nutrition, Health and Food Behavior",46756
T12075,Sodium Intake and Health,32039
T12280,Magnesium in Health and Disease,29761
T13004,Vitamin K Research Studies,24690
T13479,Food Science and Nutritional Studies,24278
T12638,Pomegranate: compositions and health benefits,18435
