id,name,works_count
T12522,Mathematics Education and Pedagogy,114521
T10229,Geometric Analysis and Curvature Flows,92480
T11012,Gas Dynamics and Kinetic Theory,84484
T10194,Nonlinear Partial Differential Equations,61303
T10884,Holomorphic and Operator Theory,61211
T12037,Algebraic and Geometric Analysis,59980
T10541,Nonlinear Differential Equations Analysis,53462
T12589,Differential Equations and Boundary Problems,50288
T11191,Mathematical functions and polynomials,45926
T10940,Navier-Stokes equation solutions,40662
T11830,Point processes and geometric inequalities,37996
T11049,Advanced Harmonic Analysis Research,35355
T11210,Mathematical Analysis and Transform Methods,30859
T11564,Mathematical Inequalities and Applications,29685
T12812,Meromorphic and Entire Functions,27477
T13487,Statistical and numerical algorithms,26662
T12508,Functional Equations Stability Results,25667
