id,name,works_count
T12804,Thermal Analysis in Power Transmission,187606
T10876,Fault Detection and Control Systems,143465
T14474,Industrial Technology and Control Systems,128855
T10791,Advanced Control Systems Optimization,123772
T14270,Simulation and Modeling Applications,115467
T10223,Microgrid Control and Optimization,110664
T13717,Advanced Algorithms and Applications,109415
T11920,Pulsed Power Technology Applications,108658
T14225,Advanced Sensor and Control Systems,103938
T12206,Vibration and Dynamic Analysis,87271
T10040,Adaptive Control of Nonlinear Systems,83670
T10046,Stability and Control of Uncertain Systems,77231
T11053,Process Optimization and Integration,69431
T10571,Robotic Mechanisms and Dynamics,67286
T10220,Machine Fault Diagnosis Techniques,66146
T10524,Traffic control and management,62955
T10653,Robot Manipulation and Learning,60288
T14470,Advanced Data Processing Techniques,59885
T10917,Smart Grid Security and Resilience,59042
T11236,Control Systems and Identification,58540
T12810,Real-time simulation and control systems,58261
T13344,Industrial Automation and Control Systems,57502
T11110,Stability and Controllability of Differential Equations,55905
T11394,Dynamics and Control of Mechanical Systems,53059
T13382,Robotics and Automated Systems,52298
T13065,Mining Techniques and Economics,47341
T11602,Magnetic Bearings and Levitation Dynamics,44866
T12941,Embedded Systems and FPGA Design,40751
T11749,Iterative Learning Control Systems,40300
T10972,Power Systems Fault Detection,39174
T13293,Engineering and Test Systems,35682
T12290,Human Motion and Animation,34070
T11615,Control and Dynamics of Mobile Robots,32232
T14420,Advanced Research in Systems and Signal Processing,31067
T11081,Advanced Control Systems Design,30236
T12888,Military Strategy and Technology,29438
T14011,Elevator Systems and Control,28014
T13535,Wireless Sensor Networks and IoT,27406
T12709,Optimization and Mathematical Programming,27034
T12000,Systems Engineering Methodologies and Applications,23431
T12772,Control and Stability of Dynamical Systems,22297
T11525,Piezoelectric Actuators and Control,20657
T14083,Extremum Seeking Control Systems,7063
T13954,Aerospace Engineering and Applications,6972
