id,name,works_count
T11893,German Literature and Culture Studies,772884
T13028,Literature and Culture Studies,201359
T14149,Historical and Literary Analyses,199748
T12977,Spanish Literature and Culture Studies,192116
T13466,Comparative Literary Analysis and Criticism,146355
T12912,"Shakespeare, Adaptation, and Literary Criticism",145584
T12398,Poetry Analysis and Criticism,141307
T12542,Second Language Learning and Teaching,140864
T12377,Digital Humanities and Scholarship,138653
T12678,Themes in Literature Analysis,136764
T12184,Linguistics and Education Research,131833
T13704,French Literature and Poetry,131088
T11794,Early Modern Spanish Literature,130838
T13179,"Literature, Culture, and Criticism",127529
T12586,"Folklore, Mythology, and Literature Studies",119843
T12972,German Colonialism and Identity Studies,92113
T14193,Literature and Cultural Memory,88409
T13174,American and British Literature Analysis,85917
T13245,Samuel Beckett and Modernism,82751
T10366,Discourse Analysis in Language Studies,80141
T10011,"Literature: history, themes, analysis",78872
T12457,Ecocriticism and Environmental Literature,67172
T11717,Postcolonial and Cultural Literary Studies,63021
T12130,Contemporary Literature and Criticism,61807
T11935,"Literacy, Media, and Education",61689
T13450,Turkish Literature and Culture,61042
T14172,Cultural and Social Studies in Latin America,60137
T12559,French Literature and Critical Theory,58818
T12461,Narrative Theory and Analysis,50793
T14192,"Literature, Film, and Journalism Analysis",50019
T13145,Crime and Detective Fiction Studies,49768
T13667,French Literature and Criticism,48727
T12974,Modernist Literature and Criticism,45930
T12214,Media Influence and Health,37759
T13433,Short Stories in Global Literature,36820
T13024,Literary Theory and Cultural Hermeneutics,36746
T13427,Latin American Literature Analysis,34102
T13733,Moravian Church and William Blake,33317
T13474,Autobiographical and Biographical Writing,32944
T14046,Bach Studies and Logistics Development,32274
T13778,Comparative and World Literature,27327
T13329,Joseph Conrad and Literature,26794
T14217,American Literature and Humor Studies,26047
T14247,"Borges, Kipling, and Jewish Identity",19985
T13250,Semiotics and Representation Studies,18789
T14001,Evelyn Waugh and Hans Urs von Balthasar Studies,17248
T14385,Franz Kafka Literary Studies,17007
T13486,"Literature, Magical Realism, García Márquez",15909
T13259,American Jewish Fiction Analysis,14097
T13672,Thomas Hardy Literature Studies,13588
T14305,Modern American Literature Studies,6688
T13837,Diverse Cultural and Social Studies,6532
T13666,Postmodernism in Literature and Education,3601
