id,name,works_count
T10942,"Sports, Gender, and Society",114716
T11544,"Gender, Labor, and Family Dynamics",112132
T11047,Gender Diversity and Inequality,88414
T12728,Demographic Trends and Gender Preferences,85096
T11432,Gender Politics and Representation,80501
T11540,"Gender, Feminism, and Media",75229
T10843,Diversity and Career in Medicine,74128
T11888,Gender Roles and Identity Studies,73363
T12908,"Media, Gender, and Advertising",62161
T11906,"Gender, Sexuality, and Education",61754
T12275,Gender and Feminist Studies,60768
T11863,"Gender, Security, and Conflict",49314
T13173,Gender Studies in Language,45623
T11548,Sexual Assault and Victimization Studies,43125
T12515,Gender and Technology in Education,36511
T13700,Gender Studies and Social Issues,22601
T13989,Labour Market and Migration,20473
T14315,Feminist Theory and Gender Studies,13450
T13926,"Feminism, Gender, and Sexuality Studies",11983
T14439,"Feminism, Gender, and Social Issues",11776
T14361,Corporate Social Responsibility Disclosure,10834
