id,name,works_count
T12157,Geochemistry and Geologic Mapping,3956018
T13650,Computational Physics and Python Applications,412872
T10181,Natural Language Processing Techniques,295855
T14335,Educational Robotics and Engineering,274548
T10320,Neural Networks and Applications,251551
T13398,Data Analysis with R,250306
T13734,Advanced Computational Techniques and Applications,180021
T10215,Semantic Web and Ontologies,171813
T10028,Topic Modeling,167181
T13623,Linguistic Studies and Language Acquisition,158825
T10020,Quantum Information and Cryptography,152760
T10682,Quantum Computing Algorithms and Architecture,120492
T10126,"Logic, programming, and type systems",110302
T10201,Speech Recognition and Synthesis,96446
T10764,Privacy-Preserving Technologies in Data,82268
T10237,Cryptography and Data Security,82077
T10862,AI in cancer detection,82060
T13559,Edcuational Technology Systems,81985
T11512,Anomaly Detection Techniques and Applications,75914
T11010,"Logic, Reasoning, and Knowledge",75434
T11975,Evolutionary Algorithms and Applications,73805
T11269,Algorithms and Data Compression,72486
T10100,Metaheuristic Optimization Algorithms Research,72246
T10664,Sentiment Analysis and Opinion Mining,66272
T11130,Coding theory and cryptography,66030
T10639,Advanced Software Engineering Methodologies,61272
T11902,Intelligent Tutoring Systems and Adaptive Learning,60639
T11689,Adversarial Robustness in Machine Learning,59912
T10711,Target Tracking and Data Fusion in Sensor Networks,58454
T12128,AI in Service Interactions,58393
T10456,Multi-Agent Systems and Negotiation,57966
T10820,Fuzzy Logic and Control Systems,57484
T12031,Speech and dialogue systems,57444
T13674,Computer Science and Engineering,57318
T11901,Bayesian Methods and Mixture Models,57069
T10462,Reinforcement Learning in Robotics,57036
T13018,Seismology and Earthquake Studies,56977
T11303,Bayesian Modeling and Causal Inference,55952
T11276,Solar Radiation and Photovoltaics,55118
T11273,Advanced Graph Neural Networks,55065
T10906,AI-based Problem Solving and Planning,53694
T11574,Artificial Intelligence in Games,51433
T12026,Explainable Artificial Intelligence (XAI),49721
T14064,Organizational and Employee Performance,46523
T11307,Domain Adaptation and Few-Shot Learning,46357
T12260,Educational Technology and Pedagogy,45724
T10951,Cryptographic Implementations and Security,45602
T13083,Advanced Text Analysis Techniques,44671
T12262,Hate Speech and Cyberbullying Detection,44097
T13702,Machine Learning in Healthcare,42047
T11424,Security and Verification in Computing,41510
T12535,Machine Learning and Data Classification,40283
T11598,Internet Traffic Analysis and Secure E-voting,39455
T12805,Cognitive Science and Mapping,38707
T14381,"Psychiatry, Mental Health, Neuroscience",38559
T10637,Advanced Clustering Algorithms Research,38111
T11652,Imbalanced Data Classification Techniques,37271
T12072,Machine Learning and Algorithms,35725
T11550,Text and Document Classification Technologies,35716
T12611,Neural Networks and Reservoir Computing,34715
T13851,"Law, AI, and Intellectual Property",33599
T13898,Diverse Interdisciplinary Research Studies,28299
T12380,Authorship Attribution and Profiling,27155
T11612,Stochastic Gradient Optimization Techniques,27063
T14351,Statistical and Computational Modeling,26823
T12814,Gaussian Processes and Bayesian Inference,23906
T13904,Artificial Intelligence Applications,22730
T12761,Data Stream Mining Techniques,20432
T13629,Text Readability and Simplification,20299
T12131,Wireless Signal Modulation Classification,19269
T13062,Cognitive Computing and Networks,18511
T12676,Machine Learning and ELM,16845
T13935,Mathematical Control Systems and Analysis,15935
T14413,Advanced Technologies in Various Fields,15650
T14175,Intuitionistic Fuzzy Systems Applications,10165
T13567,AI and Multimedia in Education,4629
T13514,Experience-Based Knowledge Management,2804
