id,name,works_count
T10365,Gastrointestinal motility and disorders,88251
T10671,Gastroesophageal reflux and treatments,86359
T11485,Gastrointestinal Tumor Research and Treatment,55817
T11348,Celiac Disease Research and Management,52115
T11378,Gastrointestinal Bleeding Diagnosis and Treatment,42791
