id,name,works_count
T11937,Research Data Management Practices,372757
T13602,Educational Methods and Media Use,310856
T14430,Higher Education and Teaching Methods,162582
T10270,Blockchain Technology Applications and Security,145488
T12863,Web and Library Services,136981
T10101,Cloud Computing and Resource Management,133020
T10679,Service-Oriented Architecture and Web Services,114820
T11813,Library Collection Development and Digital Resources,113750
T14409,Educational Systems and Policies,113586
T10260,Software Engineering Research,107169
T13565,Education and Learning Interventions,102707
T12395,Educational Innovations and Technology,102428
T14330,Library Science and Information Systems,98003
T10734,Information and Cyber Security,96870
T10430,Software Engineering Techniques and Practices,93550
T13270,QR Code Applications and Technologies,86660
T12408,Educational Innovations and Challenges,84984
T10538,Data Mining Algorithms and Applications,82956
T11370,Mobile Learning in Education,75389
T13913,Blockchain Technology in Education and Learning,72960
T10203,Recommender Systems and Techniques,72861
T14025,Educational Technology and Assessment,68972
T13194,ICT in Developing Communities,64478
T14347,Big Data and Digital Economy,57516
T12799,Mobile and Web Applications,57485
T14484,Technology and Data Analysis,56507
T13166,Information Science and Libraries,55744
T14216,Multimedia Learning Systems,55591
T13373,Data Mining and Machine Learning Applications,54642
T12016,Web Data Mining and Analysis,54493
T13386,Educational Methods and Teacher Development,52815
T13832,Advanced Decision-Making Techniques,51462
T13867,Economic Growth and Development,51373
T14215,Chemical and Environmental Engineering Research,48535
T13016,Innovative Educational Technologies,47395
T14071,Healthcare during COVID-19 Pandemic,44963
T13034,Information Systems Education and Curriculum Development,44176
T14498,Educational Technology in Learning,44105
T14345,Scientific Research and Philosophical Inquiry,43818
T12519,Cybercrime and Law Enforcement Studies,40930
T11644,Spam and Phishing Detection,40136
T10286,Information Retrieval and Search Behavior,37759
T12338,Digital literacy in education,37719
T12034,Digital and Cyber Forensics,37078
T11800,User Authentication and Security Systems,35690
T11614,Cloud Data Security Solutions,34396
T14387,Environmental Engineering and Cultural Studies,33771
T14516,English Language Learning and Teaching,33730
T13999,Digital Rights Management and Security,31869
T14403,Educational Challenges and Innovations,30433
T14042,Technology and Security Systems,28732
T13038,Internet of Things and AI,27399
T14435,Information Retrieval and Data Mining,26773
T13673,Library Science and Information,25889
T11693,Cryptography and Residue Arithmetic,24891
T13081,Digital Education and Society,22927
T13874,Information Architecture and Usability,21785
T12943,COVID-19 Digital Contact Tracing,21445
T13608,Advanced Computational Techniques in Science and Engineering,20853
T13976,Web visibility and informetrics,19839
T12601,Web Applications and Data Management,18840
T12479,Web Application Security Vulnerabilities,16384
T14414,Artificial Intelligence in Education,13562
T14307,Bioethics and Human Rights Issues,13267
T13482,Engineering Education and Technology,12843
T13274,Expert finding and Q&A systems,12431
T14431,Diverse Research and Applications,8435
T13964,Educational Technology and Optimization,7842
T14519,Innovations in Education and Learning Technologies,7659
T13932,"Education, Technology, and Economics",7587
T14029,Thoreau and American Literature,7091
T13873,Educational Methods and Technology,5938
T14103,Educational Management and Quality,5830
T14155,Advanced Technology in Applications,4259
T13647,AI and Big Data Applications,3753
T14174,Artificial Intelligence and Decision Support Systems,3109
T14496,Educational Technology and E-Learning,3043
T13676,Educational and Technological Research,1221
