id,name,works_count
T13275,Medical and Health Sciences Research,300401
T10166,Mosquito-borne diseases and control,223897
T14293,Biotechnology and Related Fields,207368
T10091,Malaria Research and Control,178235
T10177,Palliative Care and End-of-Life Issues,157485
T10254,Innovations in Medical Education,157409
T10364,Reproductive Biology and Fertility,154084
T10010,"Obesity, Physical Activity, Diet",131962
T13751,Diverse Approaches in Healthcare and Education Studies,129014
T13147,Ethics and bioethics in healthcare,128215
T12168,Health and Medical Research Impacts,123822
T12664,Clinical practice guidelines implementation,110175
T11153,Streptococcal Infections and Treatments,102236
T10866,Nutritional Studies and Diet,99165
T10823,Research on Leishmaniasis Studies,94274
T12811,"Aging, Health, and Disability",92644
T10600,Reproductive Health and Contraception,86956
T10786,Maternal Mental Health During Pregnancy and Postpartum,85188
T11163,Organ Donation and Transplantation,77078
T10997,Ocular Surface and Contact Lens,74273
T12492,Zoonotic diseases and public health,73205
T10950,Acute Lymphoblastic Leukemia research,70257
T10482,Mathematical and Theoretical Epidemiology and Ecology Models,69647
T10576,Opioid Use Disorder Treatment,67930
T11824,Injury Epidemiology and Prevention,65373
T10582,Ethics in Clinical Research,63191
T11964,Pregnancy and Medication Impact,62358
T10912,Telemedicine and Telehealth Implementation,58406
T13112,Nutrition and Health Studies,56631
T12587,Gestational Trophoblastic Disease Studies,55236
T12602,Medical Education and Admissions,55115
T14212,Health Promotion and Cardiovascular Prevention,52841
T13953,Digital Imaging in Medicine,52243
T11731,Global Health and Surgery,48947
T12402,Travel-related health issues,45792
T12057,Consumer Attitudes and Food Labeling,45357
T12096,Ectopic Pregnancy Diagnosis and Management,44994
T13340,Palliative and Oncologic Care,41787
T12920,Healthcare and Environmental Waste Management,41639
T11961,Neonatal and Maternal Infections,41451
T13544,Women's cancer prevention and management,39136
T13252,Sex and Gender in Healthcare,38228
T12715,Pregnancy-related medical research,37781
T12208,Occupational exposure and asthma,36715
T12054,Menstrual Health and Disorders,36498
T11833,Spinal Dysraphism and Malformations,35066
T12655,Female Genital Mutilation/Cutting Issues,28770
T11015,Down syndrome and intellectual disability research,28039
T14512,Technology and Human Factors in Education and Health,27022
T13048,Patient Dignity and Privacy,26168
T12878,Pharmaceutical Quality and Counterfeiting,23116
T13761,HIV/AIDS oral health manifestations,20495
T13097,Male Breast Health Studies,14602
T13945,"Legal, Health, Environmental and COVID-19 Challenges",8766
