id,name,works_count
T10017,Geology and Paleoclimatology Research,395476
T11594,Tree-ring climate responses,218415
T10075,Atmospheric chemistry and aerosols,171585
T10644,Cryospheric studies and observations,146721
T10466,Meteorological Phenomena and Simulations,131506
T13890,Remote Sensing and Land Use,127452
T11320,Atmospheric Ozone and Climate,120687
T11459,Arctic and Antarctic ice dynamics,87859
T11333,Climate change and permafrost,74746
T12202,nanoparticles nucleation surface interactions,74517
T11483,Tropical and Extratropical Cyclones Research,69575
T11234,Precipitation Measurement and Analysis,67230
T13811,Earth Systems and Cosmic Evolution,39815
