id,name,works_count
T13497,Hermeneutics and Narrative Identity,1013471
T11463,Classical Philosophy and Thought,225584
T12119,Linguistics and Discourse Analysis,214970
T14059,"Nietzsche, Schopenhauer, and Hegel",175952
T12927,"Memory, History, Trauma, Identity",147726
T12308,Mental Health and Psychiatry,123455
T13005,Religious Studies and Spiritual Practices,99504
T12857,Medieval Philosophy and Theology,98905
T12623,"Cultural, Media, and Literary Studies",94592
T12743,Spanish Culture and Identity,92130
T13144,Theology and Philosophy of Evil,84416
T13712,Kantian Philosophy and Modern Interpretations,84382
T13887,Augustinian Studies and Theology,83001
T12511,Medieval and Classical Philosophy,81898
T10297,Philosophical Ethics and Theory,76827
T14401,"Technology, Environment, Urban Planning",74330
T13902,Indian History and Philosophy,65973
T11477,"Epistemology, Ethics, and Metaphysics",63555
T12164,Education Practices and Challenges,63139
T11982,Rhetoric and Communication Studies,57484
T12517,Seventeenth-Century Political and Philosophical Thought,50860
T13277,"Media, Religion, Digital Communication",48126
T12366,"Philosophy, Ethics, and Existentialism",48027
T12949,South Asian Studies and Diaspora,46351
T13931,Philosophy and Historical Thought,46294
T12558,Wittgensteinian philosophy and applications,46084
T12957,"War, Ethics, and Justification",42052
T13462,Spanish Philosophy and Literature,40364
T12133,Pragmatism in Philosophy and Education,38624
T12507,"Utopian, Dystopian, and Speculative Fiction",37512
T13301,Cultural Studies and Interdisciplinary Research,36999
T13545,Philosophical and Theoretical Analysis,35933
T13153,Rousseau and Enlightenment Thought,29355
T12726,Philosophical and Cultural Analysis,29120
T14148,Kierkegaardian Philosophy and Influence,28589
T13225,Polish-Jewish Holocaust Memory Studies,25776
T13908,Scientific and Historical Analyses,25340
T13661,Reformed Theology and Governance,21976
T13264,Walter Benjamin Studies Compilation,20755
T13087,Simone de Beauvoir and Sartre,20013
T12440,Karl Barth and Christian Theology,17968
T13150,Study and Philosophy of Religion,17812
T14314,"Violence, Religion, and Philosophy",17553
T14092,"Ethics, Aesthetics, and Art",16838
T14278,Marxism and Critical Theory,14025
T14024,"Education, Philosophy, and Society",11039
T14460,"Literary, Cultural, Historical Analysis",9371
T13940,Philosophy and Literary Analysis,8149
T13788,Cultural Identity and Representation,8147
