id,name,works_count
T13031,Civil and Structural Engineering Research,258987
T14156,Engineering Applied Research,228705
T12487,Structural Engineering and Vibration Analysis,147975
T10534,Structural Health Monitoring Techniques,127907
T10033,Concrete and Cement Materials Research,126607
T10264,Asphalt Pavement Performance Evaluation,109017
T10713,Structural Load-Bearing Analysis,100649
T12233,Geotechnical Engineering and Underground Structures,98912
T13236,Geotechnical and construction materials studies,93530
T11375,Geotechnical Engineering and Soil Stabilization,86854
T11606,Infrastructure Maintenance and Monitoring,81890
T10716,Soil and Unsaturated Flow,80471
T10160,Seismic Performance and Analysis,72138
T11850,Concrete Corrosion and Durability,69198
T12482,Tunneling and Rock Mechanics,69119
T10687,Innovative concrete reinforcement materials,67222
T11220,Water Systems and Optimization,66019
T11870,Structural Analysis and Optimization,65106
T13596,"Grouting, Rheology, and Soil Mechanics",61323
T11978,Soil Mechanics and Vehicle Dynamics,59546
T10233,Geotechnical Engineering and Soil Mechanics,58284
T13511,Geodetic Measurements and Engineering Structures,57540
T12022,Hydraulic flow and structures,55931
T10690,Vibration Control and Rheological Fluids,49388
T13808,Construction Engineering and Safety,48172
T11352,Masonry and Concrete Structural Analysis,47664
T13601,Urban Transport Systems Analysis,45568
T11874,Structural Response to Dynamic Loads,43045
T11115,Topology Optimization in Engineering,41670
T12293,Dam Engineering and Safety,39152
T12940,Structural Engineering and Materials Analysis,36582
T12102,Fire effects on concrete materials,36311
T14445,Transportation Safety and Impact Analysis,33837
T11807,Infrastructure Resilience and Vulnerability Analysis,28882
T12442,Thermal Radiation and Cooling Technologies,25329
T12152,Concrete Properties and Behavior,24878
T14146,Earthquake and Tsunami Effects,23995
T13527,Transportation Systems and Logistics,23614
T13852,Seismic and Structural Analysis of Tall Buildings,22651
T12865,Tailings Management and Properties,21606
T12435,Bladed Disk Vibration Dynamics,10530
T13941,Geotechnical and Mining Engineering,9978
