id,name,works_count
T10346,Magnetic confinement fusion research,9280806
T10384,Laser-Plasma Interactions and Diagnostics,725876
T11044,Particle Detector Development and Performance,560024
T10048,Particle physics theoretical and experimental studies,473528
T10025,Black Holes and Theoretical Physics,247540
T10224,Quantum Chromodynamics and Particle Interactions,233982
T10093,Nuclear physics research studies,226628
T10527,High-Energy Particle Collisions Research,190314
T10818,Astrophysics and Cosmic Phenomena,153359
T10921,Neutrino Physics Research,88755
T11090,Dark Matter and Cosmic Phenomena,87105
T12603,NMR spectroscopy and applications,48025
T13458,Astronomical and nuclear sciences,14567
