id,name,works_count
T10291,Dialysis and Renal Disease Management,109302
T10516,Parathyroid Disorders and Treatments,98992
T11029,Renal Diseases and Glomerulopathies,81259
T12840,Renal function and acid-base balance,71726
T10408,Chronic Kidney Disease and Diabetes,64933
T10684,Acute Kidney Injury Research,61277
T11139,"Gout, Hyperuricemia, Uric Acid",55436
