id,name,works_count
T11949,Nuclear Physics and Applications,214618
T11216,Radiation Detection and Scintillator Technologies,144574
T11733,X-ray Spectroscopy and Fluorescence Analysis,133781
T10358,Advanced Radiotherapy Techniques,124516
T11183,Advanced X-ray Imaging Techniques,71842
T13414,Radioactive Decay and Measurement Techniques,54446
