id,name,works_count
T13597,Medicine and Dermatology Studies History,157379
T10837,Dermatology and Skin Diseases,100038
T11013,Skin Protection and Aging,71485
T11033,Contact Dermatitis and Allergies,67631
T11868,Cancer and Skin Lesions,54784
T11172,Dermatologic Treatments and Research,49743
T11553,Acne and Rosacea Treatments and Effects,47157
T11811,Cutaneous lymphoproliferative disorders research,42622
T11322,Facial Rejuvenation and Surgery Techniques,40296
T12937,Chemotherapy-related skin toxicity,39278
T12433,Skin Diseases and Diabetes,30055
T12796,Dermatological and COVID-19 studies,26015
T12731,Hidradenitis Suppurativa and Treatments,13771
