id,name,works_count
T11132,Psychoanalysis and Psychopathology Research,267832
T10182,Child and Adolescent Psychosocial and Emotional Development,191297
T14313,Health and Well-being Studies,182563
T10214,Psychotherapy Techniques and Applications,169452
T10168,COVID-19 and Mental Health,136107
T11761,Resilience and Mental Health,130951
T10263,Eating Disorders and Behaviors,126312
T11632,Family and Disability Support Research,117805
T14434,Historical and Modern Theater Studies,115679
T11388,"Grief, Bereavement, and Mental Health",111942
T12844,Psychology and Mental Health,107909
T10762,"Migration, Health and Trauma",106448
T10376,Suicide and Self-Harm Studies,106257
T13944,Psychiatric care and mental health services,92968
T10426,Child Abuse and Trauma,90041
T10708,Mindfulness and Compassion Interventions,76098
T13118,Psychological Treatments and Disorders,73660
T13143,Child Therapy and Development,71381
T12245,"Counseling, Therapy, and Family Dynamics",69024
T10242,Posttraumatic Stress Disorder Research,60046
T10565,"Psychopathy, Forensic Psychiatry, Sexual Offending",55906
T12666,Historical Psychiatry and Medical Practices,53646
T11093,Personality Disorders and Psychopathology,53081
T11123,Obsessive-Compulsive Spectrum Disorders,51884
T12335,"Sexuality, Behavior, and Technology",50768
T11705,Gambling Behavior and Treatments,46850
T11040,Personality Traits and Psychology,46683
T11678,Healthcare Decision-Making and Restraints,44042
T12663,Body Image and Dysmorphia Studies,38891
T12258,"Perfectionism, Procrastination, Anxiety Studies",37158
T12553,Psychedelics and Drug Studies,34668
T12684,Stuttering Research and Treatment,24158
T12980,Family Caregiving in Mental Illness,23962
T13419,Ego Development and Educational Practices,22971
T12889,"Psychoanalysis, Philosophy, and Politics",21756
T13272,Psychological Treatments and Assessments,17716
T13782,Transactional Analysis in Psychotherapy,13617
T13262,Semiotics and Cultural Interpretation,11168
