id,name,works_count
T11499,ICT Impact and Policies,153054
T11283,Experimental Learning in Engineering,107845
T12124,Engineering Education and Curriculum Development,76543
T10689,Remote-Sensing Image Classification,65603
T11479,Smart Cities and Technologies,52159
T11408,Advanced Optical Imaging Technologies,48575
T13114,Image Processing Techniques and Applications,39047
T10986,RFID technology advancements,38805
T11659,Advanced Image Fusion Techniques,32524
T13905,Telecommunications and Broadcasting Technologies,31280
T12707,Vehicle License Plate Recognition,25078
T14145,Diverse Cultural Media Analysis,4778
