id,name,works_count
T10129,Glioma Diagnosis and Treatment,155266
T10554,Hemoglobinopathies and Related Disorders,128246
T11157,Chronic Lymphocytic Leukemia Research,98976
T10176,Mesenchymal stem cell research,86811
T11628,Myeloproliferative Neoplasms: Diagnosis and Treatment,50774
T11917,"Coagulation, Bradykinin, Polyphosphates, and Angioedema",47160
T12400,Neurogenetic and Muscular Disorders Research,44149
T12199,Vascular Anomalies and Treatments,29401
T13738,Congenital Ear and Nasal Anomalies,12999
