id,name,works_count
T10151,Hepatitis C virus research,139550
T10073,Hepatocellular Carcinoma Treatment and Prognosis,127658
T10337,Liver Disease and Transplantation,113457
T10966,Liver physiology and pathology,61334
T11834,Liver Diseases and Immunity,40769
T12025,Hepatitis Viruses Studies and Epidemiology,37315
