id,name,works_count
T10190,Air Quality and Health Impacts,157040
T12705,Educational Reforms and Innovations,143766
T10122,Toxic Organic Pollutants Impact,106886
T11244,Climate Change and Health Impacts,89887
T10447,Environmental Toxicology and Ecotoxicology,86004
T14169,Public Health and Environmental Issues,76580
T10692,Urban Green Space and Health,73753
T10819,Mercury impact and mitigation studies,70567
T10790,Heavy Metal Exposure and Toxicity,69696
T10686,Effects and risks of endocrine disrupting chemicals,67876
T14393,"Health, Environment, Cognitive Aging",61725
T14324,Insects and Parasite Interactions,54957
T11002,Indoor Air Quality and Microbial Exposure,50388
T11493,Water Treatment and Disinfection,43696
T11972,Chromium effects and bioremediation,42184
T13563,Chemical Analysis and Environmental Impact,22572
