id,name,works_count
T10503,Global Financial Crisis and Policies,185767
T10127,"Banking stability, regulation, efficiency",168211
T10047,Financial Markets and Investment Strategies,153601
T14101,Financial Crisis of the 21st Century,140933
T11817,"Housing, Finance, and Neoliberalism",136041
T10067,Stochastic processes and financial applications,119572
T14166,European Monetary and Fiscal Policies,91606
T11531,Healthcare Systems and Reforms,68432
T10282,Financial Risk and Volatility Modeling,57988
T14464,Community Development and Social Impact,52862
T11496,Credit Risk and Financial Regulations,50030
T13074,Global Financial Regulation and Crises,47635
T11976,Capital Investment and Risk Analysis,42785
T13146,Sustainable Finance and Green Bonds,35865
T14317,"Finance, Markets, and Regulation",10206
T14154,"finance, banking, and market dynamics",10073
