id,name,works_count
T10038,Tuberculosis Research and Epidemiology,239283
T10082,HIV/AIDS Research and Interventions,154350
T10118,SARS-CoV-2 and COVID-19 Research,129028
T10195,Antimicrobial Resistance in Staphylococcus,123578
T10150,Antifungal resistance and susceptibility,119486
T10041,COVID-19 Clinical Research Studies,106469
T10976,Viral gastroenteritis research and epidemiology,95472
T11288,Clostridium difficile and Clostridium perfringens research,75996
T10526,HIV/AIDS drug development and treatment,72085
T12047,Viral Infections and Vectors,69028
T12107,Leprosy Research and Treatment,55797
T11702,Parasitic Diseases Research and Treatment,54694
T11581,Viral Infections and Outbreaks Research,51194
T12463,Amoebic Infections and Treatments,45100
T12116,Dermatological diseases and infestations,41178
T11000,Infection Control in Healthcare,40440
T12849,Parvovirus B19 Infection Studies,38650
T11754,SARS-CoV-2 detection and testing,34925
T12297,Otolaryngology and Infectious Diseases,34466
T13201,Infectious Encephalopathies and Encephalitis,23960
T12914,Infectious Disease Case Reports and Treatments,17121
