id,name,works_count
T10588,Mathematical Dynamics and Fractals,88522
T10896,Homotopy and Cohomology in Algebraic Topology,83464
T11022,Spectral Theory in Mathematical Physics,67843
T11680,Advanced Algebra and Geometry,64934
T11152,Stochastic processes and statistical mechanics,60636
T11205,Numerical methods in inverse problems,58000
T13234,advanced mathematical theories,52129
T11545,Advanced Banach Space Theory,47417
T10899,Advanced Operator Algebra Research,45432
T11654,Advanced Mathematical Physics Problems,42615
T13400,Mathematical and Theoretical Analysis,36686
T14500,Advanced Mathematical Theories,27431
