id,name,works_count
T12930,Biomedical and Chemical Research,397668
T10630,Orthopedic Surgery and Rehabilitation,170181
T10276,Helicobacter pylori-related gastroenterology studies,154936
T10189,Anesthesia and Pain Management,154030
T10280,Shoulder Injury and Treatment,146278
T10839,Pancreatic function and diabetes,133106
T10512,Orthopaedic implants and arthroplasty,121896
T10458,Bladder and Urothelial Cancer Treatments,119645
T10760,Pancreatitis Pathology and Treatment,116952
T10394,Lipoproteins and Cardiovascular Health,114916
T10193,Coronary Interventions and Diagnostics,108756
T10926,Peripheral Artery Disease Management,105623
T10599,Reconstructive Surgery and Microvascular Techniques,102083
T10442,Knee injuries and reconstruction techniques,95257
T10562,Total Knee Arthroplasty Outcomes,89862
T11855,Gastrointestinal disorders and treatments,88720
T10619,Esophageal Cancer Research and Treatment,87571
T11658,Esophageal and GI Pathology,87528
T10999,Organ Transplantation Techniques and Outcomes,84637
T11189,Transplantation: Methods and Outcomes,83605
T10776,Spinal Fractures and Fixation Techniques,82141
T11586,Congenital Diaphragmatic Hernia Studies,79221
T11381,Infectious Diseases and Tuberculosis,76894
T11035,Salivary Gland Tumors Diagnosis and Treatment,73917
T14020,Medical research and treatments,73812
T11700,Hemodynamic Monitoring and Therapy,73478
T10961,Hernia repair and management,72414
T11069,Testicular diseases and treatments,69914
T10569,Bariatric Surgery and Outcomes,69146
T11509,Hip and Femur Fractures,68521
T11713,Genital Health and Disease,67955
T11218,Hip disorders and treatments,67523
T11669,Head and Neck Surgical Oncology,65816
T11293,Orthopedic Infections and Treatments,65742
T11950,Cardiovascular Syncope and Autonomic Disorders,64849
T11364,Cholangiocarcinoma and Gallbladder Cancer Studies,62734
T11054,Adrenal and Paraganglionic Tumors,62361
T12264,Tissue Engineering and Regenerative Medicine,61698
T12906,Surgical Sutures and Adhesives,61175
T13533,Medical Case Reports and Studies,61139
T11267,Abdominal Trauma and Injuries,61094
T10980,Vascular Malformations and Hemangiomas,58657
T12578,Diagnosis and treatment of tuberculosis,55715
T11453,Diagnosis and Treatment of Venous Diseases,55544
T11951,Trauma Management and Diagnosis,54693
T10916,Surgical Simulation and Training,54512
T12518,Diverticular Disease and Complications,52290
T11562,Facial Trauma and Fracture Management,51916
T11030,Scoliosis diagnosis and treatment,51360
T12460,Pediatric Hepatobiliary Diseases and Treatments,51264
T11865,Anorectal Disease Treatments and Outcomes,51186
T11055,Cardiac and Coronary Surgery Techniques,49242
T11812,Nasal Surgery and Airway Studies,46111
T12538,Eosinophilic Esophagitis,45006
T12089,Intestinal and Peritoneal Adhesions,44059
T12154,Pelvic and Acetabular Injuries,43777
T11258,Breast Implant and Reconstruction,43318
T11618,Cholesterol and Lipid Metabolism,42572
T11866,Reconstructive Facial Surgery Techniques,41274
T11518,Cervical and Thoracic Myelopathy,41203
T12716,Congenital Anomalies and Fetal Surgery,40590
T12150,Intestinal Malrotation and Obstruction Disorders,40577
T12459,Nerve Injury and Rehabilitation,40107
T11625,Abdominal vascular conditions and treatments,39566
T12598,Cardiac Structural Anomalies and Repair,38414
T12117,Muscle and Compartmental Disorders,37376
T11080,Surgical site infection prevention,36406
T11728,Thyroid and Parathyroid Surgery,35865
T12108,Management of metastatic bone disease,34581
T12064,Intraperitoneal and Appendiceal Malignancies,32536
T11785,Nausea and vomiting management,32378
T12342,Vascular anomalies and interventions,32259
T13110,Colorectal and Anal Carcinomas,32135
T12020,Enhanced Recovery After Surgery,31668
T12173,Body Contouring and Surgery,31541
T12352,Heparin-Induced Thrombocytopenia and Thrombosis,31366
T11892,Kawasaki Disease and Coronary Complications,28906
T12237,Congenital gastrointestinal and neural anomalies,27505
T12053,Minimally Invasive Surgical Techniques,27240
T13828,Natural Products and Biological Research,26977
T12631,Head and Neck Anomalies,26887
T13248,Healthcare Technology and Patient Monitoring,26786
T12769,Stoma care and complications,26763
T12695,Urinary and Genital Oncology Studies,26277
T12183,Teratomas and Epidermoid Cysts,24710
T13878,Case Reports on Hematomas,22769
T12654,Xenotransplantation and immune response,22424
T13775,Hydrogen's biological and therapeutic effects,20041
T12426,Lymphatic Disorders and Treatments,17515
T12476,Intraoperative Neuromonitoring and Anesthetic Effects,17401
T12453,Infectious Aortic and Vascular Conditions,17245
T13314,Lymphadenopathy Diagnosis and Analysis,13332
T13323,Spinal Hematomas and Complications,12755
T12830,Pectus Deformity Diagnosis and Treatment,10871
T13639,Paraquat toxicity studies and treatments,9520
T14486,"Cardiovascular, Neuropeptides, and Oxidative Stress Research",6030
