id,name,works_count
T12983,Satellite Image Processing and Photogrammetry,320963
T11801,Reservoir Engineering and Simulation Methods,145424
T12071,Marine Biology and Environmental Chemistry,110571
T10969,Water resources management and optimization,109386
T10892,Drilling and Well Engineering,109068
T11609,Geophysical Methods and Applications,70559
T11622,Maritime Navigation and Safety,68330
T10491,Enhanced Oil Recovery Techniques,67244
T14164,Marine and Offshore Engineering Studies,66787
T11192,Underwater Vehicles and Communication Systems,64832
T13050,Oil and Gas Production Techniques,56724
T11500,Evacuation and Crowd Dynamics,52958
T13885,Geophysics and Sensor Technology,52520
T12350,Particle Dynamics in Fluid Flows,49336
T11604,Ship Hydrodynamics and Maneuverability,45472
T13925,Offshore Engineering and Technologies,44153
T11250,Wave and Wind Energy Systems,42551
T13190,Engineering and Environmental Studies,41329
T14412,Marine and Coastal Research,36904
T11284,Coal Properties and Utilization,35576
T13578,Stonefly species taxonomy and ecology,22698
T13282,Automated Road and Building Extraction,11853
T14359,Wetland Management and Conservation,10623
