id,name,works_count
T14423,Military Technology and Strategies,22340715
T11367,Particle accelerators and beam dynamics,1474340
T13638,Human auditory perception and evaluation,996977
T10597,Nuclear reactor physics and engineering,317693
T10069,Antenna Design and Analysis,156173
T10191,Robotics and Sensor-Based Localization,91657
T10670,Aluminum Alloy Microstructure Properties,91246
T12019,Calibration and Measurement Techniques,83797
T13200,Spacecraft and Cryogenic Technologies,83033
T12449,Spacecraft Design and Technology,81085
T10680,Wind Energy Research and Development,72477
T10655,GNSS positioning and interference,72411
T12513,Rocket and propulsion systems research,68675
T11619,Combustion and Detonation Processes,67879
T11325,Inertial Sensor and Navigation,66490
T11489,Air Traffic Management and Optimization,61348
T10626,High-Temperature Coating Behaviors,56506
T12042,Satellite Communication Systems,54991
T12125,Aerospace and Aviation Technology,53349
T11008,Aerodynamics and Acoustics in Jet Flows,52913
T11946,Antenna Design and Optimization,52601
T12389,Infrared Target Detection Methodologies,51159
T10944,Turbomachinery Performance and Optimization,50043
T12081,Aerodynamics and Fluid Dynamics Research,49453
T11701,Space Satellite Systems and Control,48997
T10801,Synthetic Aperture Radar (SAR) Applications and Techniques,48586
T11383,Advanced Antenna and Metasurface Technologies,47982
T10891,Radar Systems and Signal Processing,46564
T11082,Spacecraft Dynamics and Control,44602
T11133,UAV Applications and Optimization,43560
T14214,Space Exploration and Technology,40789
T12560,Nuclear Engineering Thermal-Hydraulics,37251
T11038,Advanced SAR Imaging Techniques,37169
T13855,Aerospace Engineering and Control Systems,35676
T11170,Biomimetic flight and propulsion mechanisms,35370
T12699,Electromagnetic Launch and Propulsion Technology,34574
T12158,Guidance and Control Systems,32079
T12719,Aerospace Engineering and Energy Systems,29874
T11096,Aeroelasticity and Vibration Control,27249
T13121,Radio Wave Propagation Studies,27195
T12007,Plasma and Flow Control in Aerodynamics,24404
T12696,Icing and De-icing Technologies,24154
T13371,Military Defense Systems Analysis,23792
T13257,Advanced Control and Stabilization in Aerospace Systems,8130
