id,name,works_count
T11405,Geophysics and Gravity Measurements,304287
T10255,Oceanographic and Atmospheric Processes,243335
T10765,Marine Biology and Ecology Research,228356
T10032,Marine and coastal ecosystems,154992
T14047,Marine and environmental studies,142077
T10643,Marine and coastal plant biology,127912
T11698,Underwater Acoustics Research,98227
T11061,Ocean Waves and Remote Sensing,63798
T12806,Ocean Acidification Effects and Responses,41351
