id,name,works_count
T11673,Advanced Topics in Algebra,88300
T11166,Analytic Number Theory Research,59591
T11703,"Rings, Modules, and Algebras",54913
T11428,Advanced Mathematical Identities,39137
T12069,Commutative Algebra and Its Applications,26293
