id,name,works_count
T12444,"Art, Politics, and Modernism",153895
T11391,Theatre and Performance Studies,144773
T14002,"Art, Technology, and Culture",133207
T14322,"Art, Aesthetics, and Perception",130946
T12283,Latin American history and culture,114917
T13342,Art History and Market Analysis,90469
T13133,Architecture and Art History Studies,89959
T13334,South Asian Cinema and Culture,85755
T12803,Cinema History and Criticism,78092
T12179,Art Education and Development,72703
T12390,Comics and Graphic Narratives,58790
T12632,Visual Culture and Art Theory,52046
T13413,Cultural and Historical Studies,51773
T13860,Arts and Performance Studies,43315
T13216,Artistic and Creative Research,42725
T13683,"Architecture, Art, Education",39524
T14243,Creative Drama in Education,14150
