id,name,works_count
T11583,Advanced Measurement and Metrology Techniques,280708
T12959,Engineering and Materials Science Studies,221034
T11091,Extraction and Separation Processes,146100
T10188,Advanced machining processes and optimization,112526
T11126,Metallurgical Processes and Thermodynamics,109542
T12282,Mineral Processing and Grinding,104043
T10386,Microstructure and Mechanical Properties of Steels,100336
T10717,Aluminum Alloys Composites Properties,96890
T11372,Hydraulic and Pneumatic Systems,96522
T10635,Hydraulic Fracturing and Reservoir Analysis,90538
T11138,Tribology and Lubrication Engineering,89798
T10700,Metal Forming Simulation Techniques,89250
T10834,Welding Techniques and Residual Stresses,86038
T10672,Design Education and Practice,83380
T10998,Heat Transfer and Optimization,81435
T12897,Structural Analysis of Composite Materials,75608
T12169,Non-Destructive Testing Techniques,73181
T10705,Additive Manufacturing Materials and Processes,73008
T12907,Mechanical Engineering and Vibrations Research,70891
T12784,Modular Robots and Swarm Intelligence,67403
T11100,Intermetallics and Advanced Alloy Properties,67108
T10842,Railway Engineering and Dynamics,64337
T12099,Advanced materials and composites,63087
T11529,Refrigeration and Air Conditioning Technologies,61423
T11351,Catalysis and Hydrodesulfurization Studies,60451
T10850,Heat Transfer and Boiling Studies,59319
T10967,Carbon Dioxide Capture Technologies,58906
T11062,Gear and Bearing Dynamics Analysis,58819
T10633,Metallic Glasses and Amorphous Alloys,58325
T11664,Fiber-reinforced polymer composites,53629
T10723,Advanced Welding Techniques Analysis,53463
T11737,Advanced Materials and Mechanics,53281
T10840,High Temperature Alloys and Creep,52014
T12729,Tree Root and Stability Studies,50812
T11557,Lubricants and Their Additives,47671
T11837,Iron and Steelmaking Processes,47279
T13213,Mechanical Failure Analysis and Simulation,46132
T10938,Phase Change Materials Research,42964
T13045,Industrial Engineering and Technologies,41763
T10707,Cellular and Composite Structures,41093
T13094,Mining and Gasification Technologies,40688
T11145,Epoxy Resin Curing Processes,40499
T12425,Industrial Gas Emission Control,40449
T11945,Heat Transfer Mechanisms,40374
T13312,Mechanical and Thermal Properties Analysis,39620
T11362,Membrane Separation and Gas Transport,39049
T10568,Thermodynamic and Exergetic Analyses of Power and Cooling Systems,38932
T12581,Engineering Structural Analysis Methods,38862
T11143,High Entropy Alloys Studies,38743
T13140,Materials Engineering and Processing,35877
T12898,Induction Heating and Inverter Technology,35466
T12086,Structural Integrity and Reliability Analysis,35103
T12080,Injection Molding Process and Properties,33455
T11230,Innovative Energy Harvesting Technologies,32895
T11687,Teleoperation and Haptic Systems,31395
T13584,Coal Combustion and Slurry Processing,31357
T12932,Powder Metallurgy Techniques and Materials,31053
T11774,Adsorption and Cooling Systems,30690
T12201,Agricultural Engineering and Mechanization,30165
T13685,Material Science and Thermodynamics,30088
T13645,Thermodynamic and Structural Properties of Metals and Alloys,29720
T12774,Bauxite Residue and Utilization,29008
T13341,Belt Conveyor Systems Engineering,28207
T12139,Advanced Thermodynamic Systems and Engines,25622
T12406,IoT and GPS-based Vehicle Safety Systems,25561
T14096,Advancements in Materials Engineering,25515
T14304,Transport Systems and Technology,21669
T12371,Electrical Contact Performance and Analysis,20984
T14454,Polymer Science and Applications,20914
T13790,Waste Management and Environmental Impact,18477
T12106,Surface Treatment and Residual Stress,17432
T13298,Solar Energy Systems and Technologies,16964
T13827,Mechatronics Education and Applications,16718
T13715,Power Line Inspection Robots,15991
T13470,Surface Treatment and Coatings,15145
T13644,Control Systems in Engineering,13036
T13451,Mechanical Engineering Research and Applications,10293
T13020,Heat Transfer and Mathematical Modeling,6675
T13640,Ranque-Hilsch vortex tube,6031
