id,name,works_count
T10591,Theoretical and Computational Physics,488954
T10037,Physics of Superconductivity and Magnetism,278033
T12762,Crystallography and Radiation Phenomena,264581
T10099,GaN-based semiconductor devices and materials,127377
T10681,Rare-earth and actinide compounds,107133
T11682,Advanced Condensed Matter Physics,51002
T11486,Micro and Nano Robotics,49870
T12491,Superconductivity in MgB2 and Alloys,19983
