id,name,works_count
T11808,Superconducting Materials and Applications,244362
T13418,Photocathodes and Microchannel Plates,229891
T10171,Biofuel production and bioconversion,146396
T10059,Bone Tissue Engineering Materials,136884
T11667,Advanced Chemical Sensor Technologies,135617
T10338,Advanced Sensor and Energy Harvesting Materials,120341
T10784,Muscle activation and electromyography studies,102677
T10088,Thermochemical Biomass Conversion Processes,101004
T13280,Biomedical and Engineering Education,100055
T10402,Phase Equilibria and Thermodynamics,92954
T10104,Nanofluid Flow and Heat Transfer,91905
T10507,Biodiesel Production and Applications,90787
T10822,Acoustic Wave Phenomena Research,88666
T10675,Mechanical Circulatory Support Devices,85262
T10323,Analog and Mixed-Signal Circuit Design,84276
T11190,3D Printing in Biomedical Research,83181
T11301,Advanced Surface Polishing Techniques,80984
T10412,Microfluidic and Capillary Electrophoresis Applications,79351
T11160,Acoustic Wave Resonator Technologies,74024
T11073,Metal Extraction and Bioleaching,71194
T12050,Optical Polarization and Ellipsometry,69712
T12386,Advanced X-ray and CT Imaging,69616
T10782,Nanoplatforms for cancer theranostics,68026
T11366,Elasticity and Material Modeling,66906
T11407,Innovative Microfluidic and Catalytic Techniques Innovation,65542
T11984,Anatomy and Medical Technology,64758
T10295,Plasmonic and Surface Plasmon Research,64053
T10958,Ultrasound and Hyperthermia Applications,63631
T11208,Lignin and Wood Chemistry,60342
T11196,Non-Invasive Vital Sign Monitoring,57680
T13267,Advanced Theoretical and Applied Studies in Material Sciences and Geometry,56918
T11018,Lower Extremity Biomechanics and Pathologies,55044
T13362,Slime Mold and Myxomycetes Research,50469
T13552,Advanced Materials Characterization Techniques,50353
T11255,Microfluidic and Bio-sensing Technologies,49395
T10879,Robotic Locomotion and Control,49175
T11393,Biosensors and Analytical Detection,48444
T11023,Prosthetics and Rehabilitation Robotics,47969
T10864,Fluid Dynamics and Mixing,47517
T13752,Mechanics and Biomechanics Studies,47248
T12677,Sports Dynamics and Biomechanics,46753
T12015,Photoacoustic and Ultrasonic Imaging,45832
T11582,Nanopore and Nanochannel Transport Studies,44899
T14510,Medical Imaging and Analysis,44545
T12391,Artificial Immune Systems Applications,43878
T12224,Nanofabrication and Lithography Techniques,43336
T11009,Catalysis for Biomass Conversion,43202
T10868,Soft Robotics and Applications,42786
T14089,Nanotechnology research and applications,41966
T11569,Optical Coherence Tomography Applications,41749
T11932,Wireless Body Area Networks,40360
T12405,Characterization and Applications of Magnetic Nanoparticles,38634
T12074,Membrane-based Ion Separation Techniques,37437
T12627,Graphene and Nanomaterials Applications,36724
T13820,SAS software applications and methods,36529
T11272,Nanowire Synthesis and Applications,36258
T13928,Advanced Sensor Technologies Research,28623
T11517,Advanced optical system design,28451
T12642,Polymer-Based Agricultural Enhancements,27505
T11608,Dielectric materials and actuators,27284
T12078,Environmental remediation with nanomaterials,26950
T11788,Nonlinear Optical Materials Studies,26029
T12466,Near-Field Optical Microscopy,25044
T12285,Surface Chemistry and Catalysis,23451
T11739,Microwave Imaging and Scattering Analysis,22945
T11802,Chemical Looping and Thermochemical Processes,21318
T13232,Laser-Ablation Synthesis of Nanoparticles,19220
T12740,Gait Recognition and Analysis,19016
T13052,Molecular Communication and Nanonetworks,18576
T14189,Intravenous Infusion Technology and Safety,15667
T13722,Ergonomics and Human Factors,15462
T12706,Subcritical and Supercritical Water Processes,14321
