id,name,works_count
T10139,Heavy metals in environment,123012
T10753,Microplastics and Plastic Pollution,112860
T11336,Energy and Environment Impacts,100703
T10564,Wastewater Treatment and Nitrogen Removal,98875
T10419,Pharmaceutical and Antibiotic Environmental Impacts,69944
T11180,Pesticide and Herbicide Environmental Studies,69820
T10324,Microbial bioremediation and biosurfactants,61070
T12682,Smart Materials for Construction,50295
T12316,Oil Spill Detection and Mitigation,43219
T13916,Environmental Policies and Emissions,37897
T14120,Thallium and Germanium Studies,15331
