id,name,works_count
T11890,Scientific Measurement and Uncertainty Evaluation,138350
T11357,Risk and Safety Analysis,128983
T10206,Meta-analysis and systematic reviews,107540
T10102,scientometrics and bibliometrics research,99784
T10928,Probabilistic and Robust Engineering Design,75238
T14406,Multidisciplinary Science and Engineering Research,58238
T11443,Advanced Statistical Process Monitoring,48824
T13309,Reliability and Agreement in Measurement,20419
T13880,Innovative Education Methods and Tools,2058
