id,name,works_count
T10860,Speech and Audio Processing,107750
T11106,Data Management and Algorithms,95279
T11309,Music and Audio Processing,83729
T11241,Advanced Malware Detection Techniques,72041
T11447,Blind Source Separation Techniques,55193
T10828,Biometric Identification and Security,51430
T12205,Time Series Analysis and Forecasting,46840
T10741,Video Coding and Compression Technologies,45339
T11034,Digital Filter Design and Implementation,38775
T10931,Direction-of-Arrival Estimation Techniques,24191
