id,name,works_count
T13958,"Education, Innovation and Language Studies",517408
T13085,"Education, Psychology, and Social Research",469395
T12826,Education Methods and Technologies,360357
T13884,Educational Leadership and Practices,334948
T13532,Education Systems and Policy,310457
T12021,Social and Educational Sciences,288598
T13064,Dutch Social and Cultural Studies,237002
T13184,Research in Social Sciences,232009
T14449,Education and Character Development,227813
T11715,Education and Critical Thinking Development,195094
T10457,Education Pedagogy and Practices,190812
T10162,Online and Blended Learning,187074
T12925,Educational and Social Studies,186207
T12998,Education and Islamic Studies,149416
T10589,Early Childhood Education and Development,143633
T10008,Teacher Education and Leadership Studies,130615
T13830,Educational Curriculum and Learning Methods,112038
T12363,Academic Research in Diverse Fields,111672
T13061,Literacy and Educational Practices,109920
T12217,Higher Education Teaching and Evaluation,107677
T10267,Higher Education Research Studies,106081
T14483,Education and Teacher Training,106024
T10130,Mathematics Education and Teaching Techniques,102513
T13412,Education and Technology Integration,99088
T14376,Science and Education Research,98334
T12616,Religious Education and Schools,89421
T14061,Educational Practices and Policies,88329
T14462,Educational Methods and Impacts,88173
T10072,Science Education and Pedagogy,85867
T12060,Child Development and Digital Technology,82050
T12545,Global Education and Multiculturalism,81424
T12590,STEM Education,79053
T10674,School Choice and Performance,78069
T13844,Higher Education Learning Practices,77885
T12500,Reflective Practices in Education,73365
T14182,Technology-Enhanced Education Studies,71822
T12931,Educational Methods and Outcomes,71380
T13161,Ideological and Political Education,69818
T11676,Parental Involvement in Education,68704
T13594,Healthcare innovation and challenges,68615
T13780,Diverse Education Studies and Reforms,67477
T13652,Education and Social Development in Ukraine,67355
T14480,Historical Education and Society,66369
T10561,Educational Research and Methods,65850
T12928,Education and Cultural Studies,65477
T13978,Foreign Language Teaching Methods,65220
T11806,Service-Learning and Community Engagement,62164
T10437,Educational theories and practices,62122
T11779,Higher Education and Employability,56555
T12556,Educational Methods and Analysis,56367
T10959,Student Assessment and Feedback,53691
T12952,School Leadership and Teacher Performance,53360
T13425,Rural and Ethnic Education,53206
T13395,"Education, Leadership, and Health Research",52879
T11526,Innovative Teaching Methods,52723
T13987,Child Development and Education,52372
T14037,Arabic Language Education Studies,50020
T12950,Educational Environments and Student Outcomes,47311
T14391,"Forest, Soil, and Plant Ecology in China",46648
T13084,Education during COVID-19 pandemic,46028
T12204,African Education and Politics,44859
T13131,Collaborative Teaching and Inclusion,44472
T13464,Higher Education and Sustainability,43404
T13929,Educational Outcomes and Influences,43298
T13570,Historical Education Studies Worldwide,41606
T12070,Writing and Handwriting Education,39424
T13305,Teacher Professional Development and Motivation,39032
T11835,Sustainability in Higher Education,38569
T13936,Physical Education and Gymnastics,38556
T12354,Innovations in Educational Methods,37726
T11039,Evaluation of Teaching Practices,37529
T11101,Online Learning Methods and Innovations,37060
T13117,Health Education and Validation,36745
T12884,Educational Assessment and Pedagogy,36086
T11299,Problem and Project Based Learning,35918
T14095,"Literature, Musicology, and Cultural Analysis",35474
T12160,African cultural and philosophical studies,35393
T12591,Inclusive Education and Diversity,35386
T14277,Social Skills and Education,34476
T14508,Vocational Education and Training,34312
T14287,Music Education and Analysis,31991
T13872,Vocational and Entrepreneurial Education,31740
T14033,Education in Rural Contexts,31571
T13952,Information Technology and Learning,31471
T14267,Technology in Education and Healthcare,29791
T12531,Values and Moral Education,28969
T14290,Education Methods and Practices,28537
T13903,Innovative Educational Techniques,28137
T13646,Qur’anic Interpretation Studies,25731
T14421,Educational Philosophies and Pedagogies,25271
T13299,Educational Leadership and Administration,25093
T14007,Indigenous and Place-Based Education,25071
T14136,Education and Military Integration,24653
T12966,Russian Literature and Bakhtin Studies,23775
T12474,Education Discipline and Inequality,23585
T14097,Chemistry Education and Research,23508
T13063,Education and experiences of immigrants and refugees,23393
T14207,Higher Education Practises and Engagement,23073
T14227,Educational Practices and Challenges,22374
T13895,Educational Leadership and Innovation,21975
T14060,Education and Communication Studies,21806
T13709,Education in Diverse Contexts,21647
T13348,Pancasila Values in Education,20937
T13207,Youth Substance Use and School Attendance,20691
T13930,Diverse Education and Engineering Focus,20240
T12978,Innovative Teaching Methodologies in Social Sciences,20231
T12880,Qualitative Research Methods and Applications,18683
T12345,Adult and Continuing Education Topics,18661
T13403,Higher Education in Latin America,18219
T14240,E-Learning and COVID-19,17596
T13789,Global Education Systems and Policies,17590
T13981,"Violence, Education, and Gender Studies",16017
T13658,Education and Professional Development,15057
T14274,Education and Vocational Training,13253
T13273,Knowledge Management in Higher Education,13202
T13502,Community and Sustainable Development,11823
T14271,Educational Methods and Psychological Studies,10742
T13737,Critical and Liberation Pedagogy,10254
T14425,Educational Practices and Sociocultural Research,9816
T13368,University Challenges and Reforms,9799
T13701,Psycholinguistics and Behavioral Studies,9343
T13040,"Gender, Education, and Development Issues",9256
T14205,Education and Art Integration,7588
T14283,Diverse Academic Research Areas,7546
T14471,"Education, Literature, Philosophy Research",7013
T13351,Critical Theory and Political Philosophy,6505
T14075,Psychodrama and Leishmaniasis Studies,6146
T14482,Education Practices and Evaluation,5862
T14122,Impact of Education Environments,5849
T13662,Qualitative research in health,5716
T13056,Various Academic Research Studies,5195
T14161,Health and Education Studies,4744
T13627,Cultural and Educational Studies,4321
T13853,Teacher Education and Assessments,3633
T13349,Educational Research and Analysis,3279
T14153,Social Development and Education Research,2989
T13774,Citizenship Education and Democracy,2383
