id,name,works_count
T13224,Sports and Physical Education Research,129606
T13986,Medical Practices and Rehabilitation,127429
T10114,"Balance, Gait, and Falls Prevention",84410
T11718,Physical Education and Pedagogy,71882
T13189,Physical Education and Training Studies,70172
T12315,Older Adults Driving Studies,26691
T14407,Athletic Training and Education,8682
