id,name,works_count
T13443,Mineralogy and Gemology Studies,132734
T13067,Geological Modeling and Analysis,131048
T11740,Geochemistry and Elemental Analysis,86855
T10398,Groundwater and Isotope Geochemistry,68641
T12218,Coal and Its By-products,32272
T13209,Cold Fusion and Nuclear Reactions,29827
