id,name,works_count
T12837,American Environmental and Regional History,541895
T12165,Environmental Sustainability and Education,169586
T13760,"Finance, Taxation, and Governance",167754
T10535,Landslides and related hazards,149674
T12414,Coastal and Marine Management,124874
T12348,Rural Development and Agriculture,114940
T13801,Urban Arborization and Environmental Studies,104676
T12467,Rangeland Management and Livestock Ecology,95338
T12652,International Maritime Law Issues,85658
T14372,Environmental and Biological Research in Conflict Zones,77815
T12013,Sustainable Development and Environmental Policy,74617
T10898,Environmental Education and Sustainability,71811
T12922,Business and Economic Development,71086
T13438,Environmental Conservation and Management,69620
T13729,Korean Urban and Social Studies,59628
T13920,Urban Planning and Valuation,57641
T12227,Environmental and Social Impact Assessments,51905
T14408,Coastal Management and Development,47299
T14452,Mexican Socioeconomic and Environmental Dynamics,44978
T13756,International Environmental Law and Policies,42065
T13058,Soil and Land Suitability Analysis,33453
T13654,Urban Planning and Landscape Design,30078
T13557,Environmental and sustainability education,29568
T14106,Environmental and Sediment Control,29107
T13967,"Conservation, Ecology, Wildlife Education",21760
T14341,"Education, Technology, and Ethics",21232
T12883,Sustainable Development and Environmental Management,19274
T13893,Sustainable Development and Policies,18482
T14019,Socioeconomic and Demographic Analysis,18108
T13082,Water and Land Management,16829
T13432,Environmental Sustainability and Technology,11960
T13933,Whitehead's Philosophy and Applications,9607
T13244,Analysis of environmental and stochastic processes,5298
T13592,Advanced Scientific Techniques and Applications,5230
