id,name,works_count
T10350,Electronic Health Records Systems,83097
T11396,Artificial Intelligence in Healthcare,77476
T14400,Medical Coding and Health Information,63469
T12871,Healthcare Quality and Management,55465
T14396,Healthcare Regulation,48428
T13960,"Dietetics, Nutrition, and Education",43052
T11555,Methodologies in Health Research and Practice,38586
T13243,Innovation in Digital Healthcare Systems,35683
T13319,Film in Education and Therapy,32630
T14093,Global Health and Epidemiology,26438
T14416,"Health, Technology, Consumer Behavior",20948
T14447,Trade Secret Protection Methods,8202
