id,name,works_count
T13923,Nuclear and radioactivity studies,157467
T10370,Traffic and Road Safety,95684
T14392,Geoscience and Mining Technology,69620
T14306,Technology Assessment and Management,66962
T14368,Evaluation and Optimization Models,61542
T10780,Reliability and Maintenance Optimization,53920
T11317,Fire dynamics and safety research,52618
T11046,Geotechnical Engineering and Analysis,46366
T12597,Fire Detection and Safety Systems,34753
T11941,Power System Reliability and Maintenance,30600
T13295,Safety Systems Engineering in Autonomy,26353
T14091,Industrial and Mining Safety,7746
