id,name,works_count
T11175,Gyrotron and Vacuum Electronics Research,540851
T11993,Atomic and Subatomic Physics Research,365063
T11484,Adaptive optics and wavefront sensing,263767
T12004,Advanced Frequency and Time Standards,239601
T10002,Advanced Chemical Physics Studies,206289
T11050,Photorefractive and Nonlinear Optics,196093
T10523,Atomic and Molecular Physics,168361
T10022,Semiconductor Quantum Structures and Devices,167647
T10425,Cold Atom Physics and Bose-Einstein Condensates,156031
T10622,Quantum Mechanics and Applications,154899
T10382,Quantum and electron transport phenomena,144928
T10049,Magnetic properties of thin films,138586
T11177,Spectroscopy and Quantum Chemical Studies,138185
T14311,Electrical and Electromagnetic Research,108509
T10657,Topological Materials and Phenomena,95134
T10988,Advanced Fiber Laser Technologies,94710
T11965,"Quantum, superfluid, helium dynamics",94004
T10566,Laser-Matter Interactions and Applications,92538
T10923,Force Microscopy Techniques and Applications,90993
T11853,Semiconductor materials and interfaces,72211
T10666,Photonic Crystals and Applications,69276
T11449,Mechanical and Optical Resonators,65061
T10739,Electromagnetic Scattering and Analysis,64564
T11666,Color Science and Applications,62592
T10490,Orbital Angular Momentum in Optics,59905
T11262,Quantum Mechanics and Non-Hermitian Physics,59721
T11683,Quantum and Classical Electrodynamics,57647
T11804,Quantum many-body systems,55906
T11414,Quantum optics and atomic interactions,55467
T13531,Surface and Thin Film Phenomena,49510
T12220,Quantum Electrodynamics and Casimir Effect,42215
T13493,Optical and Acousto-Optic Technologies,40425
T11603,Dust and Plasma Wave Phenomena,34502
T12077,Vacuum and Plasma Arcs,28946
T11897,Digital Holography and Microscopy,26120
T12612,Strong Light-Matter Interactions,25181
T14363,Optical properties and cooling technologies in crystalline materials,9247
