id,name,works_count
T10098,Ruminant Nutrition and Digestive Physiology,133009
T12310,Crop Yield and Soil Fertility,122427
T10584,Reproductive Physiology in Livestock,110660
T11560,Animal Disease Management and Epidemiology,83216
T12003,Bioenergy crop production and management,77897
T11226,Milk Quality and Mastitis in Dairy Cows,76805
T12436,Agronomic Practices and Intercropping Systems,64109
T13358,Livestock Management and Performance Improvement,41961
T13628,Agricultural Productivity and Crop Improvement,39598
T14499,Livestock Farming and Management,36729
T13378,Agricultural Development and Policies,23710
