id,name,works_count
T10293,Thyroid Disorders and Treatments,123995
T10560,Diabetes Management and Research,112863
T10401,Diabetes Treatment and Management,111582
T10748,Growth Hormone and Insulin-like Growth Factors,108206
T10027,"Diabetes, Cardiovascular Risks, and Lipoproteins",103520
T10329,Thyroid Cancer Diagnosis and Treatment,103455
T10832,Pituitary Gland Disorders and Treatments,101501
T11146,Hormonal and reproductive studies,89863
T11839,Hormonal Regulation and Hypertension,82620
T11227,Diabetic Foot Ulcer Assessment and Management,81272
T10793,Diabetes Management and Education,68993
T11140,Natural Antidiabetic Agents Studies,66946
T12964,"Diet, Metabolism, and Disease",66542
T12421,Adrenal Hormones and Disorders,59556
T11623,Hyperglycemia and glycemic control in critically ill and hospitalized patients,51027
T10694,Menopause: Health Impacts and Treatments,48545
T13966,Neurological and metabolic disorders,43134
T13453,Alkaline Phosphatase Research Studies,27447
