id,name,works_count
T13394,"Ecology, Conservation, and Geographical Studies",233337
T10302,Fish Ecology and Management Studies,200373
T11387,Ichthyology and Marine Biology,189214
T11880,Forest ecology and management,132019
T12014,"Fish biology, ecology, and behavior",126172
T10005,Ecology and Vegetation Dynamics Studies,120367
T11955,Urban and spatial planning,102782
T11656,Turtle Biology and Conservation,56643
T12870,Seedling growth and survival studies,44466
T12965,Wildlife Conservation and Criminology Analyses,42052
T12819,Environmental Philosophy and Ethics,27816
T13732,"Aerospace, Electronics, Mathematical Modeling",16403
