id,name,works_count
T11617,Enzyme Production and Characterization,119439
T11340,Marine Sponges and Natural Products,100912
T12996,Cancer Research and Treatments,91530
T10900,Listeria monocytogenes in Food Safety,53717
T12673,Microbial Metabolism and Applications,53460
T11455,Microbial Inactivation Methods,44113
T12856,Transgenic Plants and Applications,42345
T14150,Biochemical and biochemical processes,21046
